dt,pfr,"Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т"
2015-02-09 00:00:00,30300,228,12344,10009,12728,62,3700.0,70.0,221,221,338,248,11573,51.0,6900,11870,297,1325.0,2275.0,21250,3450.0,11598,246
2015-02-16 00:00:00,30100,206,12271,10432,12852,63,3700.0,70.0,221,213,308,248,11746,51.0,6900,12088,278,1325.0,2275.0,21250,3450.0,11794,243
2015-02-23 00:00:00,29400,207,12645,11981,13034,64,3700.0,72.0,215,208,295,248,11930,53.0,6900,12503,265,1325.0,2275.0,21250,3450.0,12047,241
2015-03-02 00:00:00,29200,214,12696,11912,12910,63,3700.0,72.0,224,215,295,248,12100,53.0,6900,12439,265,1325.0,2275.0,21250,3450.0,12253,249
2015-03-09 00:00:00,29000,232,12916,12061,12964,61,4050.0,70.0,229,221,275,248,11774,51.0,8750,12020,265,1345.0,2425.0,15250,3500.0,12183,257
2015-03-16 00:00:00,28700,229,12883,11893,12812,58,4050.0,67.0,231,223,265,248,11733,48.0,8750,12093,263,1345.0,2425.0,15250,3500.0,12140,256
2015-03-23 00:00:00,27800,230,12753,11945,12694,56,4050.0,65.0,230,220,263,253,11540,46.0,8750,11763,263,1345.0,2425.0,15250,3500.0,12139,254
2015-03-30 00:00:00,27200,231,12521,11853,12569,55,4050.0,63.5,233,221,269,254,11579,44.5,8750,11719,261,1345.0,2425.0,15250,3500.0,12113,256
2015-04-06 00:00:00,26600,235,12395,11785,12421,50,4050.0,58.0,236,229,265,258,11378,39.0,8750,11250,264,1250.0,2175.0,13250,3200.0,12369,262
2015-04-13 00:00:00,25700,238,12220,11327,12146,48,5200.0,57.5,236,229,265,258,11056,38.5,10350,11327,260,1250.0,2175.0,13250,3200.0,12324,263
2015-04-20 00:00:00,24800,245,11830,11050,11716,50,5200.0,58.5,241,238,265,258,10613,39.5,10350,10555,260,1250.0,2175.0,13250,3200.0,12109,267
2015-04-27 00:00:00,24700,250,11083,11091,11035,54,5200.0,61.0,248,243,270,258,10456,42.0,10350,10066,264,1250.0,2175.0,13250,3200.0,11705,274
2015-05-04 00:00:00,24300,251,10714,11167,10865,58,5200.0,62.5,249,244,265,258,9996,43.5,10350,9758,263,1250.0,2175.0,13250,3200.0,10970,276
