iter	RMSE
0	12147.3447
1	11206.21486
2	10350.74979
3	9578.760917
4	8862.281982
5	8242.083037
6	7707.322607
7	7206.920216
8	6699.754977
9	6266.521936
10	5902.026539
11	5580.030193
12	5252.306543
13	4967.299272
14	4721.461351
15	4508.317411
16	4294.223223
17	4132.698297
18	3977.101881
19	3851.911749
20	3721.123139
21	3621.723953
22	3501.386491
23	3427.223743
24	3332.413385
25	3227.482837
26	3156.912126
27	3078.11646
28	3005.503569
29	2948.237174
30	2897.595414
31	2832.058112
32	2764.880841
33	2722.024769
34	2690.971903
35	2648.399876
36	2596.808566
37	2561.171082
38	2511.086606
39	2480.617705
40	2438.096235
41	2415.055758
42	2372.986536
43	2345.789776
44	2313.149016
45	2285.136171
46	2264.33504
47	2237.777444
48	2199.184967
49	2165.185574
50	2138.055198
51	2108.663846
52	2076.766868
53	2061.056456
54	2033.021713
55	1997.770314
56	1964.300461
57	1946.636787
58	1930.451063
59	1917.022672
60	1903.156201
61	1892.102436
62	1864.861879
63	1839.313053
64	1823.22733
65	1804.778836
66	1794.703135
67	1782.572237
68	1748.303751
69	1733.174295
70	1705.440679
