iter	Passed	Remaining
0	15	7734
1	27	6915
2	42	7100
3	63	7911
4	82	8216
5	103	8535
6	125	8860
7	141	8725
8	156	8536
9	167	8222
10	181	8064
11	197	8033
12	223	8385
13	240	8343
14	255	8257
15	291	8811
16	308	8763
17	335	8979
18	400	10145
19	419	10069
20	441	10069
21	460	9994
22	479	9950
23	495	9831
24	512	9728
25	529	9648
26	544	9542
27	560	9453
28	579	9407
29	596	9343
30	611	9252
31	629	9207
32	642	9096
33	655	8985
34	671	8921
35	691	8910
36	706	8842
37	721	8772
38	735	8696
39	745	8568
40	752	8422
41	761	8302
42	769	8173
43	785	8140
44	799	8081
45	809	7993
46	817	7876
47	825	7775
48	833	7668
49	840	7562
50	849	7481
51	860	7409
52	871	7346
53	880	7275
54	888	7191
55	897	7119
56	904	7032
57	914	6966
58	920	6881
59	929	6817
60	937	6745
61	946	6689
62	953	6613
63	962	6560
64	969	6487
65	980	6449
66	991	6410
67	999	6348
68	1010	6313
69	1017	6250
70	1026	6204
